artist,id,name
"112","1","Dance With Me"
"2 Live Crew","2","Me So Horny"
"2 Pac","3","California Love"
"2 Pac","4","Dear Mama"
"2 Pac","5","Until The End Of Time"
"2 PAC & Elton John","6","Ghetto Gospel"
"50 Cent","7","Candy Shop (Exp)"
"50 Cent","8","In Da Club"
"50 Cent","9","P.I.M.P. (Radio Version)"
"50 Cent Eminem & Adam Levine","10","My Life (Clean)"
"5th Dimension","11","One Less Bell To Answer"
"5th Dimension","12","Stoned Soul Picnic "
"5th Dimension","13","Up Up And Away "
"69 Boys","14","Tootsie Roll"
"Aaliyah","15","Age Ain't Nothin But A Number"
"Aaliyah","16","Miss You"
"Aaliyah","17","More Than A Woman"
"Aaliyah","18","One I Gave My Heart To"
"Aaliyah","19","Try Again"
"Aaliyah & Tank","20","Come Over"
"Aaron Hall","21","All The Places I Will Kiss You"
"Aaron Neville","22","Everybody Plays The Fool "
"Aaron Neville","23","Tell It Like It Is"
"Ace Of Base","24","Don't Turn Around"
"Ace Of Base","25","Don't Turn Around"
"Adele","26","Skyfall"
"Adele","27","Someone Like You"
"Afroman","28","Because I Got High"
"Afroman","29","Because I Got High"
"Afroman","30","Crazy Rap"
"Afroman","31","Crazy Rap"
"Air Supply","32","Making Love Out Of Nothing At All "
"Akon","33","Locked Up"
"Al B Sure","34","Nite & Day"
"Al Green","35","Call Me (Come Back Home)"
"Al Green","36","I'm Still In Love With You"
"Al Green","37","Lets Stay Together "
"Al Green","38","Look What You Done To Me"
"Al Green","39","Tired Of Being Alone"
"Al Green","40","You Ought To Be With Me "
"Al Green ","41","Here I Am (Come And Take Me) "
"Al Jarreau","42","After All"
"Al Jarreau","43","Morning (PS)"
"Al Jarreau","44","Summertime"
"Al Wilson","45","Show And Tell"
"Alabama","46","Old Flame"
"Aladdin","47","Friend Like Me"
"Alexander O'Neal","48","Criticize"
"Alexander O'Neal","49","If You Were Here Tonight "
"Alicia Bridges","50","I Love The Nightlife"
"Alicia Keyes","51","Every Little Bit Hurts"
"Alicia Keyes","52","Girl On Fire"
"Alicia Keyes","53","If I Ain't Got You "
"Alicia Keyes","54","Like You'll Never See Me Again"
"Alicia Keyes","55","Piano & I"
"Alicia Keyes","56","Why Do I Feel So Sad"
"Alicia Keyes","57","You Don't Know My Name"
"Alicia Keyes & Maxwell","58","Fire We Make"
"Alicia Keyes & Usher","59","My Boo "
"Alicia Keys","60","Like You'll Never See Me Again"
"Alicia Keys","61","Piano & I"
"All 4 One","62","I Swear"
"America","63","Horse With No Name "
"Angels","64","My Boyfriend's Back"
"Angie Stone","65","Brotha"
"Angie Stone","66","More Than A Woman"
"Angie Stone","67","No More Rain"
"Angie Stone","68","Wish I Didn't Miss You"
"Angie Stone & Betty Wright","69","Baby"
"Anita Baker","70","Angel"
"Anita Baker","71","Giving You The Best That I Got"
"Anita Baker","72","I Apologize"
"Anita Baker","73","No One In The World"
"Anita Baker","74","Same Ole Love"
"Anita Baker","75","Soul Inspirations"
"Anita Baker","76","Sweet Love"
